,0
123,-1354.8147778571495
124,546.1513457299958
125,-2490.064686719546
126,-701.7019346688526
127,-15562.7832967458
128,-3065.0449386974688
129,954.1317794371417
130,-4042.435970328872
131,17816.56426613336
132,1339.3336095995207
133,-172.70824676037415
134,4764.58218852929
135,134.88134005890333
136,-1600.628880971894
137,-1631.0956054330277
138,564.3934052719272
139,6964.373144572094
140,36798.02357123623
141,1405.1115612804313
142,4199.17538369568
143,-20587.027031783542
144,6345.436437019903
145,3510.6729409905192
146,5161.728439179578
147,-1416.9216010896835
148,933.2602074068606
149,1625.7418797307796
150,-3589.3346271771734
151,-499.67465029681057
152,1057.293617000823
153,-2052.1720614007436
154,245.33241920951258
155,501.47600006012397
156,-406.94687893516107
157,-3675.644732267132
158,-9642.165698903978
159,196.52964124428698
160,-514.848956852261
161,-728.4852521057038
162,625.3770903258437
163,296.5722177708858
164,-462.27694030934265
165,-835.8220267423272
166,-924.8168130730428
167,285.97967131187664
168,2340.410718646682
169,-3006.8570390859
170,342.7411354222869
171,708.6425211097104
172,6292.507584414503
173,185.78565861808448
174,-257.7095046507214
175,148.1859289631638
176,183.06681754523362
177,-15464.600255052907
178,297.45811417063055
179,-12.474830764188852
180,179.5713691526863
181,-129.9585625335746
182,516.1553576934848
183,179.63862047902887
184,-16.426593316703404
185,810.8274211655521
186,-246.42055118183384
187,66.29605098028766
188,717.1363542356941
189,-47.528364406527174
190,388.9772036426808
191,-1252.6030412278662
192,-208.17811920854024
193,726.6355677619259
194,256.27896365698246
195,111.34834192947696
196,-877.4801171513085
197,1798.3860631225816
198,-390.68854273897256
199,-4985.349009179551
200,896.6919221132772
201,189.77838012870882
202,1456.1194947325496
203,166.35065663108924
204,-1648.2122875037003
205,3112.9005088728977
206,-1123.7284660891507
207,544.7577532550138
208,11698.174671643472
209,-699.0938176421199
210,-293.5528378183145
211,-509.83050609812835
212,-350.91139188919226
213,-140.0398852151252
214,-2460.308930636461
215,-1100.8931966405355
216,229.0147033130634
217,-286.0592419200366
218,376.58301718342494
219,16554.096644181787
220,-840.2749949313595
221,1731.9774347218975
222,3162.2326688240632
223,333.2794266381975
224,-7168.458523133715
225,2532.750398866731
226,-280.86461933659905
227,174.05841854901954
228,253.5249411220129
229,284.054879017241
230,1834.3563714555098
231,36.640006863158966
232,20206.597653428562
233,364.6482894232767
234,128.4945858309046
235,-502.78514843639266
236,2234.029094069478
237,-1044.2974739938454
238,-368.1956386221679
239,-1922.1411016161128
240,-453.5261543584289
241,178.13580016754483
242,-49.09022698409595
243,-30.133758293132217
244,114.88768461558143
245,-133.2866906214161
246,-471.47146781650645
247,324.65035415755983
248,39.6934832950169
249,173.80688993385462
250,191.86807712901452
251,575.3854142111553
252,-889.5028660019813
253,1366.2243755974425
254,271.36863316105837
255,62.12280050224211
256,448.2196730448757
257,-269.54527874286873
258,679.2604239453142
259,-19956.249150830554
260,-2866.824801447088
261,251.4297516884708
262,-301.10266319671507
263,251.77264791432356
264,326.9219934552443
265,732.7489313045307
266,-556.6595225763735
267,647.2868661300037
268,-3902.1269687374406
269,-2011.1042694948374
270,-16.907724037973267
271,-2318.6423517111434
272,1311.3007846382284
273,46.89421584068213
274,7.651961185226639
275,149.63262502866525
276,38.774770022789816
277,338.3527166227586
278,-750.5153362640284
279,153.67740582849132
280,33.42129897375534
281,1034.4080471901448
282,-37.308276833676246
283,-359.58319489854034
284,3573.1594162065257
285,-44.342485409561874
286,-850.0828818476812
287,-57.38277621240141
288,-221.22692841418933
289,-2367.841703791516
290,-81.26140371687012
291,5073.907268004406
292,1475.5677878115098
293,611.0405252863247
294,17526.494487805834
295,-399.9313901703503
296,-2976.83409942128
297,654.838882779495
298,4218.884223444848
299,-167.6728397801695
300,-2039.9012028565794
301,295.8459050420617
302,425.9693132875393
303,2392.794290374806
304,-1814.382961416424
305,-26.05097681067319
306,-63.7393592596747
307,188.088961544644
308,-2234.638370184429
309,-6372.876522390132
310,1954.1964118967724
311,-190.10208631952293
312,103.81516179690966
